Engineering,Fall,2018
Dept,Number,Section,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CS,377,1,Communication and Ethics,93,48,2,0,0,0,0,0,0,3,Burton
ME,308,1,Mechanical Vibrations,16,26,21,9,3,0,0,0,0,0,Szwalek
ME,599,1,PhD Thesis Research,0,0,0,0,0,0,11,0,0,0,Shahbazian-Yassar
ME,211,2,Fluid Mechanics l,3,9,8,9,3,1,0,0,0,0,Mirbod
ECE,559,1,Neural Networks,29,46,2,0,0,0,0,0,0,0,Koyuncu
ECE,346,1,Solid State Device Theory,36,30,4,0,0,0,0,0,0,0,Stroscio
CME,260,1,Properties Of Materials,26,28,19,19,5,1,0,0,0,10,Daly
IE,594,3,Intro to Applied Optimization,15,21,0,0,0,0,0,0,0,0,Diwekar
BIOE,595,1,Seminar on Bioengineering,0,0,0,0,0,2,0,21,0,0,Khetani
CS,587,1,Computer Systems Security,10,0,0,0,0,0,0,0,0,0,Solworth
CS,599,1,PhD Thesis Research,0,0,0,0,0,0,0,16,0,0,Yu
ME,528,1,Numerical Heat Transfer,10,5,4,0,1,0,0,0,0,1,Mashayek
CME,201,1,Statics,24,26,28,30,33,2,0,0,0,9,Ataei
ENGR,100,2,Engr Orientation - Not Freshme,0,0,0,0,0,22,0,403,23,10,Narubin
ECE,225,1,Circuit Analysis,31,13,12,6,10,0,0,0,0,3,Caliskan
ECE,534,1,Elements of Info Theory,9,8,9,2,0,0,0,0,0,0,Devroye
CME,401,1,Adv Design Of Metal Struct,10,17,14,5,0,0,0,0,0,1,Gonner
CS,480,1,Database Systems,15,27,12,1,2,0,0,0,0,1,Deitz
CHE,205,1,Computational Methods in ChE,19,10,1,2,0,0,0,0,0,2,Mehraeen
CHE,451,1,Renewable Energy Technologies,13,8,0,0,0,0,0,0,0,1,Al-Hallaj
CS,141,1,Program Design II,60,58,50,25,16,0,0,0,0,19,Reed
ECE,266,1,Intro to Embedded Systems,29,37,25,6,1,0,0,0,0,2,Zhang
ME,396,3,Senior Design Project,28,6,3,0,0,1,0,0,0,0,Brown
ECE,552,1,Nonlinear Control,8,2,1,0,0,0,0,0,0,0,Jin
CHE,501,1,Advanced Thermodynamics,6,15,2,0,0,0,0,0,0,0,Kim
ECE,366,1,Computer Organization,26,8,8,3,1,1,0,0,0,3,Rao
ECE,415,1,Imag Analysis & Compt Visn I,27,43,6,0,0,0,0,0,0,3,Radakovic
ECE,595,1,Departmental Seminar,0,0,0,0,0,0,0,66,5,0,Smida
ME,428,2,Numerical Methods in ME,9,9,15,7,0,0,0,0,0,0,Minkowycz
CME,427,1,Engineering Hydrology,11,9,2,0,0,1,10,0,0,1,Burke
BIOE,325,1,Biotransport,11,13,3,1,0,0,0,0,0,1,Takoudis
CS,107,1,Intro Comp & Programming,32,39,22,8,9,0,0,0,0,21,Reckinger
ME,419,1,Compressible Flow Theory,11,8,4,0,0,0,0,0,0,0,Brezinsky
CS,476,1,Programming Language Dsgn,8,4,6,2,2,0,0,0,0,1,Mansky
IE,345,1,Regr Analysis & Forecast,8,12,5,1,0,0,0,0,0,1,He
ME,321,1,Heat Transfer,23,15,17,11,9,0,0,0,0,3,Manafzadeh
ECE,572,1,Nanoscale Semiconduc Stru,36,0,0,0,0,0,0,0,0,0,Stroscio
CS,418,1,Introduction to Data Science,52,5,2,0,0,0,0,0,0,1,Bello Lander
BIOE,310,1,Biosystems Analysis,19,7,8,2,1,0,0,0,0,4,Linninger
CS,514,1,App Artificial Intelligence,26,3,0,0,0,0,0,0,0,0,Gmytrasiewicz
ME,429,1,Internal Combustion Engines,42,15,5,0,0,0,0,0,0,0,Manafzadeh
BIOE,481,1,Bioinformatics Laboratory,11,4,0,1,0,0,0,0,0,2,Liang
CS,412,1,Intro to Machine Learning,33,28,7,3,1,1,0,0,0,4,Zhang
BIOE,102,1,Bioengineering Freshman Smnr,0,0,0,0,0,0,60,0,0,0,Shokuhfar
CME,315,1,Soil Mechanics & Lab,18,19,4,1,0,0,0,0,0,0,Reddy
ECE,467,1,Introduc to VLSI Design,16,30,9,2,0,0,0,0,0,3,Trivedi
ME,396,1,Senior Design I,15,3,3,0,0,2,0,0,0,0,Brown
CS,480,2,Database Systems,33,20,12,1,0,0,0,0,0,0,Wolfson
IE,380,1,Manufacturing Process Princ,1,7,6,0,0,0,0,0,0,0,Subramanian
CS,583,1,Data Mining & Text Mining,22,28,10,0,0,0,0,0,0,1,Liu
ECE,594,1,Hardware Security & Trust,13,9,3,0,0,0,0,0,0,0,Xu
CS,491,1,Algorithms in Practice,3,10,0,0,0,0,0,0,0,1,Lillis
ECE,445,1,Analysis&Desgn/Power Elec Circ,3,5,3,1,0,0,0,0,0,1,Mazumder
ME,411,1,Mechatronics I,40,21,0,0,0,0,0,0,0,3,Cetin
ECE,491,1,Power System Analysis,2,4,2,3,1,0,0,0,0,0,He
CME,302,1,Transportation Engr,7,23,11,3,1,1,0,0,0,0,Lin
ECE,410,1,Network Analysis,10,11,14,2,0,0,0,0,0,0,Goncharoff
ME,499,1,Prof Development Seminar,0,0,0,0,0,0,0,49,0,0,Darabi
ME,261,1,Materials for Manufacturing,6,6,8,0,0,0,0,0,0,0,McNallan
ENGR,289,1,Cooperative Engr Practice,0,0,0,0,0,12,0,72,0,2,Cicero
ECE,310,1,Discrete &Cont Signal&Systms,15,32,24,4,10,0,0,0,0,3,Kosmach
ME,424,1,Industrial Energy Mgmt,25,6,7,1,0,0,0,0,0,2,Ryan
CS,478,1,Development of Mobile Apps,30,11,11,17,3,1,0,0,0,0,Buy
ECE,317,1,DSP I,23,14,3,0,0,0,0,0,0,0,Cetin
ECE,451,1,Control Engineering,10,11,5,2,2,0,0,0,0,4,Han
ECE,340,1,Electronics I,29,18,26,5,0,0,0,0,0,0,Metlushko
CS,211,1,Programming Practicum,110,71,30,21,16,0,0,0,0,12,Troy
CME,261,1,Materials For Manufacturing,12,14,19,4,6,0,0,0,0,4,McNallan
CME,434,1,Finite Element Analysis I,17,8,6,2,0,1,0,0,0,4,Foster
ME,320,1,Mechanisms&Dynamics/Machinery,35,32,20,6,1,1,0,0,0,1,Brown
CME,300,1,Concrete Properties&Compositn,13,16,8,0,0,0,0,0,0,0,Issa
CS,499,1,Prof. Development Seminar,0,0,0,0,0,0,0,84,0,5,Hummel
ECE,350,1,Principles of Auto Control,17,18,3,1,0,0,0,0,0,0,Jin
ECE,210,1,Electric Circuit Analysis,89,57,6,0,0,0,0,0,0,0,Fitzgerald
CME,494,3,Structural Loads Determination,12,11,1,0,0,0,0,0,0,1,Mobasseri
CME,396,1,Civil Engr Systems Design,54,15,0,0,0,0,0,0,0,0,Schulenberg
CS,412,2,Intro to Machine Learning,28,19,12,4,0,0,0,0,0,8,Zheleva
BIOE,403,1,Quality Assurance Med Products,40,3,0,0,0,0,0,0,0,0,Bogdanowicz
ECE,424,1,RF Guided Propagation,3,5,1,0,1,0,0,0,0,0,Soury
IE,461,1,Safety Engineering,10,20,1,0,0,0,0,0,0,1,Williams
ME,562,1,Biomedical Implants,12,0,0,0,0,0,0,0,0,0,Mathew
ECE,516,1,Adaptive Digital Filters,8,6,0,0,0,0,0,0,0,1,Soltanalian
ECE,458,1,Electromech Energy Conversn,9,11,11,5,0,0,0,0,0,1,Revelo Alonso
IE,594,4,Time Series Analy&Forecasting,19,7,13,0,0,0,0,0,0,0,Li
ECE,594,2,High Performance ICs/Systems,8,8,1,0,0,0,0,0,0,0,Partin Vaisband
BIOE,472,1,Neural Models,5,5,12,0,0,0,0,0,0,1,Patton
